black,64,64,64,恐怖:男性的:格好いい:上品
deepBlueFeelings,64,64,192,悲しみ:活発:安全:冷静:誠実:清潔:若い:爽やか:孤独:気品:厳粛:崇高:宇宙
greenFeelings,64,192,64,信頼:安らぎ:平和:田舎:弱い自己出張:穏やかさ:調和:自然:平和:バランス:協調
lightBlueFeelings,64,64,192,驚き
redFeelings,192,64,64,怒り:激怒:生命力:活動的:情熱的:衝動的
purpleFeelings,192,64,192,嫌悪:高級:不安:癒し:伝統:古典:不安:嫉妬
yellowFeelings,192,192,64,喜び:明るさや希望:にぎやか:幸福:幼稚:未来:知恵:かわいい:未熟:軽快:カジュアル
grayFeelings,192,192,192,調和:憂鬱:不安:過去:薄暗い:思い出
